sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,sy_dist
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
1,1,0,Radial Velocity,2008,Ground,54.6599000
1,1,0,Radial Velocity,2008,Ground,54.6599000
1,1,0,Radial Velocity,2008,Ground,54.6599000
1,1,0,Radial Velocity,2008,Ground,54.6599000
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,2,0,Radial Velocity,2011,Ground,19.8101000
1,2,0,Radial Velocity,2011,Ground,19.8101000
1,2,0,Radial Velocity,2011,Ground,19.8101000
1,2,0,Radial Velocity,2019,Ground,19.8101000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
2,2,0,Radial Velocity,2012,Ground,82.9613000
2,2,0,Radial Velocity,2012,Ground,82.9613000
2,2,0,Radial Velocity,2023,Ground,82.9613000
1,1,0,Radial Velocity,2015,Ground,162.5520000
1,1,0,Radial Velocity,2015,Ground,162.5520000
1,1,0,Radial Velocity,2008,Ground,101.2600000
1,1,0,Radial Velocity,2008,Ground,101.2600000
1,1,0,Radial Velocity,2008,Ground,101.2600000
3,1,0,Radial Velocity,2013,Ground,44.0304000
1,1,0,Imaging,2022,Ground,162.1270000
1,1,0,Imaging,2005,Ground,50.0475000
1,1,0,Imaging,2023,Ground,26.8564000
1,1,0,Imaging,2023,Ground,26.8564000
1,1,0,Imaging,2023,Ground,26.8564000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2021,Space,9.7221000
1,2,0,Transit,2021,Space,9.7221000
1,2,0,Transit,2021,Space,9.7221000
1,2,0,Transit,2021,Space,9.7221000
1,1,0,Radial Velocity,2017,Ground,1070.6300000
1,1,0,Radial Velocity,2009,Ground,49.3520000
1,1,0,Radial Velocity,2009,Ground,49.3520000
1,1,0,Radial Velocity,2016,Ground,768.0450000
1,1,0,Radial Velocity,2013,Ground,426.4200000
1,2,0,Radial Velocity,2009,Ground,1539.7100000
1,2,0,Radial Velocity,2009,Ground,1539.7100000
1,2,0,Radial Velocity,2009,Ground,1539.7100000
1,1,0,Radial Velocity,2012,Ground,1322.5100000
1,1,0,Transit,2016,Space,179.4610000
1,1,0,Transit,2016,Space,179.4610000
1,1,0,Transit,2016,Space,179.4610000
1,1,0,Radial Velocity,2021,Ground,53.6220000
1,1,0,Radial Velocity,2011,Ground,871.4930000
1,1,0,Radial Velocity,2018,Ground,666.5890000
1,1,0,Radial Velocity,2015,Ground,442.0420000
1,1,0,Radial Velocity,2021,Ground,52.5697000
1,1,0,Imaging,2021,Space,44.9543000
1,1,0,Radial Velocity,2021,Ground,38.0473000
1,1,0,Radial Velocity,2021,Ground,38.0473000
1,1,0,Radial Velocity,2021,Ground,42.6402000
1,2,0,Radial Velocity,2013,Ground,20.2695000
1,2,0,Radial Velocity,2013,Ground,20.2695000
1,2,0,Radial Velocity,2009,Ground,41.3342000
1,2,0,Radial Velocity,2009,Ground,41.3342000
1,2,0,Radial Velocity,2009,Ground,41.3342000
1,1,0,Radial Velocity,2000,Ground,84.4069000
1,1,0,Radial Velocity,2000,Ground,84.4069000
1,1,0,Radial Velocity,2000,Ground,84.4069000
1,1,0,Radial Velocity,2000,Ground,84.4069000
1,2,0,Radial Velocity,2014,Ground,27.1665000
1,2,0,Radial Velocity,2014,Ground,27.1665000
1,2,0,Radial Velocity,2020,Ground,27.1665000
1,1,0,Radial Velocity,2007,Ground,925.2140000
1,1,0,Radial Velocity,2007,Ground,925.2140000
1,1,0,Radial Velocity,2008,Ground,34.4603000
1,1,0,Radial Velocity,2008,Ground,34.4603000
1,2,0,Radial Velocity,2023,Ground,23.7324000
1,2,0,Radial Velocity,2023,Ground,23.7324000
1,2,0,Radial Velocity,2023,Ground,23.7324000
1,1,0,Radial Velocity,2020,Ground,8.6071500
1,1,0,Imaging,2011,Ground,
1,1,0,Imaging,2021,Space,
1,1,0,Imaging,2006,Space,190.3740000
1,1,0,Radial Velocity,2019,Ground,157.9980000
1,1,0,Imaging,2021,Ground,10.8864000
1,1,0,Imaging,2007,Ground,190.7200000
1,1,0,Transit,2008,Space,787.9090000
1,1,0,Transit,2008,Space,787.9090000
1,1,0,Transit,2008,Space,787.9090000
1,1,0,Transit,2008,Space,787.9090000
1,1,0,Transit,2008,Space,787.9090000
1,1,0,Transit,2008,Space,787.9090000
1,1,0,Transit,2008,Space,787.9090000
1,1,0,Transit,2010,Space,338.3860000
1,1,0,Transit,2010,Space,338.3860000
1,1,0,Transit,2010,Space,338.3860000
1,1,0,Transit,2010,Space,655.0370000
1,1,0,Transit,2010,Space,655.0370000
1,1,0,Transit,2010,Space,655.0370000
1,1,0,Transit,2010,Space,655.0370000
1,1,0,Transit,2010,Space,655.0370000
1,1,0,Transit,2010,Space,1126.3700000
1,1,0,Transit,2010,Space,1126.3700000
1,1,0,Transit,2010,Space,1126.3700000
1,1,0,Transit,2010,Space,1126.3700000
1,1,0,Transit,2010,Space,1126.3700000
1,1,0,Transit,2010,Space,1126.3700000
1,1,0,Transit,2010,Space,1148.9300000
1,1,0,Transit,2010,Space,1148.9300000
1,1,0,Transit,2010,Space,1148.9300000
1,1,0,Transit,2010,Space,1148.9300000
1,1,0,Transit,2010,Space,1148.9300000
1,1,0,Transit,2010,Space,1744.6000000
1,1,0,Transit,2010,Space,1744.6000000
1,1,0,Transit,2010,Space,1744.6000000
1,1,0,Transit,2011,Space,732.4090000
1,1,0,Transit,2011,Space,732.4090000
1,1,0,Transit,2011,Space,1176.1200000
1,1,0,Transit,2011,Space,1176.1200000
1,1,0,Transit,2011,Space,1176.1200000
1,1,0,Transit,2011,Space,764.8890000
1,1,0,Transit,2011,Space,764.8890000
1,1,0,Transit,2011,Space,764.8890000
1,1,0,Transit,2011,Space,764.8890000
1,1,0,Transit,2011,Space,764.8890000
1,1,0,Transit,2011,Space,764.8890000
1,1,0,Transit,2011,Space,790.6630000
1,1,0,Transit,2011,Space,790.6630000
1,1,0,Transit,2011,Space,790.6630000
1,1,0,Transit,2011,Space,790.6630000
1,1,0,Transit,2011,Space,790.6630000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
2,1,0,Transit,2008,Space,213.2830000
1,2,0,Transit,2011,Space,844.0610000
1,2,0,Transit,2011,Space,844.0610000
1,2,0,Transit,2011,Space,844.0610000
1,2,0,Transit,2011,Space,844.0610000
1,2,0,Transit,2011,Space,844.0610000
1,2,0,Transit,2011,Space,844.0610000
1,2,0,Radial Velocity,2018,Ground,844.0610000
1,1,0,Transit,2012,Space,
1,1,0,Transit,2012,Space,
1,1,0,Transit,2014,Space,627.1580000
1,1,0,Transit,2011,Space,1060.9700000
1,1,0,Transit,2011,Space,1060.9700000
1,1,0,Transit,2011,Space,1060.9700000
1,2,0,Transit,2014,Space,591.5550000
1,2,0,Transit,2014,Space,591.5550000
1,1,0,Transit,2013,Space,1103.4800000
1,1,0,Transit,2013,Space,1103.4800000
1,1,0,Transit,2013,Space,1045.1800000
1,1,0,Transit,2013,Space,1045.1800000
1,1,0,Transit,2014,Space,1010.2800000
1,1,0,Transit,2014,Space,1010.2800000
1,1,0,Transit,2015,Space,766.1830000
1,1,0,Transit,2015,Space,766.1830000
1,1,0,Transit,2015,Space,806.5070000
1,1,0,Transit,2015,Space,806.5070000
1,1,0,Transit,2015,Space,806.5070000
1,1,0,Transit,2008,Space,768.7710000
1,1,0,Transit,2008,Space,768.7710000
1,1,0,Transit,2008,Space,768.7710000
1,1,0,Transit,2008,Space,768.7710000
1,1,0,Transit,2008,Space,768.7710000
1,1,0,Transit,2020,Space,1032.2300000
1,1,0,Transit,2020,Space,2005.7600000
1,1,0,Transit,2022,Space,1123.2100000
1,1,0,Transit,2022,Space,925.9580000
1,1,0,Transit,2008,Space,726.4120000
1,1,0,Transit,2008,Space,726.4120000
1,1,0,Transit,2008,Space,726.4120000
1,1,0,Transit,2008,Space,726.4120000
1,1,0,Transit,2009,Space,882.4720000
1,1,0,Transit,2009,Space,882.4720000
1,1,0,Transit,2009,Space,882.4720000
1,1,0,Transit,2009,Space,882.4720000
1,1,0,Transit,2009,Space,882.4720000
1,1,0,Transit,2009,Space,882.4720000
1,1,0,Transit,2009,Space,645.2940000
1,1,0,Transit,2009,Space,645.2940000
1,1,0,Transit,2009,Space,645.2940000
1,1,0,Transit,2009,Space,645.2940000
1,3,0,Transit,2009,Space,159.9060000
1,3,0,Transit,2009,Space,159.9060000
1,3,0,Transit,2009,Space,159.9060000
1,3,0,Transit,2009,Space,159.9060000
1,3,0,Transit,2009,Space,159.9060000
1,3,0,Transit,2009,Space,159.9060000
1,3,0,Transit,2009,Space,159.9060000
1,3,0,Transit,2009,Space,159.9060000
1,3,0,Radial Velocity,2009,Space,159.9060000
1,3,0,Radial Velocity,2009,Space,159.9060000
1,3,0,Radial Velocity,2009,Space,159.9060000
1,3,0,Radial Velocity,2022,Ground,159.9060000
1,1,0,Transit,2010,Space,322.0370000
1,1,0,Transit,2010,Space,322.0370000
1,1,0,Transit,2010,Space,322.0370000
1,1,0,Transit,2010,Space,322.0370000
2,1,0,Transit,2009,Space,412.9800000
2,1,0,Transit,2009,Space,412.9800000
2,1,0,Transit,2009,Space,412.9800000
2,1,0,Transit,2009,Space,412.9800000
2,1,0,Transit,2009,Space,412.9800000
1,1,0,Transit,2017,Space,576.6830000
1,1,0,Transit,2017,Space,576.6830000
2,1,0,Eclipse Timing Variations,2018,Ground,30.5225000
1,1,0,Astrometry,2013,Ground,
1,1,0,Imaging,2004,Ground,134.8460000
